image,true_class,true_toxicity,model,llm,pred_class,confidence,risk_level,flagged
Agaricus xanthodermus_295.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Armillaria mellea,0.4466,HIGH,True
Agaricus xanthodermus_295.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Armillaria mellea,0.4466,HIGH,True
Agaricus xanthodermus_295.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Armillaria mellea,0.4466,HIGH,True
Agaricus xanthodermus_295.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Agaricus xanthodermus,0.4701,HIGH,True
Agaricus xanthodermus_295.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Agaricus xanthodermus,0.4701,HIGH,True
Agaricus xanthodermus_295.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Agaricus xanthodermus,0.4701,HIGH,True
Agaricus xanthodermus_295.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Agaricus xanthodermus,0.5326,HIGH,True
Agaricus xanthodermus_295.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Agaricus xanthodermus,0.5326,HIGH,True
Agaricus xanthodermus_295.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Agaricus xanthodermus,0.5326,HIGH,True
Agaricus xanthodermus_37.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Agaricus xanthodermus,0.9997,MODERATE,False
Agaricus xanthodermus_37.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Agaricus xanthodermus,0.9997,HIGH,True
Agaricus xanthodermus_37.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Agaricus xanthodermus,0.9997,MODERATE,False
Agaricus xanthodermus_37.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,none,Agaricus xanthodermus,0.9963,MODERATE,False
Agaricus xanthodermus_37.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,llama,Agaricus xanthodermus,0.9963,HIGH,True
Agaricus xanthodermus_37.jpg,Agaricus xanthodermus,Toxic,YOLOv26n,gemma,Agaricus xanthodermus,0.9963,MODERATE,False
Agaricus xanthodermus_37.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,none,Agaricus xanthodermus,0.808,MODERATE,False
Agaricus xanthodermus_37.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,llama,Agaricus xanthodermus,0.808,HIGH,True
Agaricus xanthodermus_37.jpg,Agaricus xanthodermus,Toxic,EfficientNet-B0,gemma,Agaricus xanthodermus,0.808,MODERATE,False
Agaricus xanthodermus_193.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,none,Agaricus xanthodermus,0.9624,MODERATE,False
Agaricus xanthodermus_193.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,llama,Agaricus xanthodermus,0.9624,HIGH,True
Agaricus xanthodermus_193.jpg,Agaricus xanthodermus,Toxic,YOLOv8n,gemma,Agaricus xanthodermus,0.9624,MODERATE,False
