epoch,time,train/loss,train/top1,train/top5,train/grad_norm,val/loss,metrics/accuracy_top1,metrics/accuracy_top5,lr/pg0
1,696.2,2.259116,59.667,83.4979,3.194624,1.777002,72.7346,93.2388,0.001
2,697.2,1.776114,72.6139,92.5473,2.495508,1.581138,78.8978,95.245,0.00099901
3,694.2,1.632378,77.0064,94.5802,2.262786,1.497136,81.0968,96.3927,0.00099606
4,694.0,1.54392,79.4262,95.7216,2.149757,1.462645,82.2259,96.5181,0.00099114
5,693.3,1.482292,81.4903,96.3367,2.045077,1.420049,83.0361,96.8654,0.00098429
6,694.4,1.430545,82.9441,97.0889,1.994148,1.436931,82.9005,96.8846,0.00097553
7,693.3,1.386682,84.2597,97.5743,1.916847,1.390395,84.2888,97.338,0.00096489
8,731.7,1.350356,85.4155,97.7641,1.864556,1.394033,84.0482,97.1161,0.00095241
9,790.6,1.318549,86.5532,98.1822,1.813428,1.374682,85.2062,97.4344,0.00093815
10,824.9,1.284722,87.4231,98.4489,1.761393,1.356116,84.9265,97.3958,0.00092216
11,699.3,1.256011,88.3675,98.6436,1.7199,1.347872,85.4269,97.5694,0.00090451
12,820.3,1.229785,89.1977,98.8502,1.669975,1.325323,85.9296,97.5791,0.00088526
13,789.1,1.203725,89.9702,99.0809,1.623284,1.336818,86.0544,97.5791,0.00086448
14,881.1,1.179234,90.9109,99.1806,1.569903,1.338314,85.7271,97.4537,0.00084227
15,963.0,1.160314,91.4937,99.2875,1.562407,1.331828,86.4788,97.5598,0.00081871
16,892.6,1.139378,92.0307,99.4149,1.519838,1.322504,86.3631,97.5116,0.00079389
17,878.8,1.12049,92.8441,99.4894,1.468137,1.296279,87.0207,97.7623,0.00076791
18,937.9,1.102047,93.4208,99.6191,1.435956,1.297366,86.9128,97.6755,0.00074088
19,935.4,1.088187,93.7752,99.6528,1.406698,1.306641,87.2022,97.5598,0.00071289
20,903.8,1.070825,94.3567,99.7309,1.370448,1.285945,87.2408,97.5791,0.00068406
21,799.0,1.052583,94.8577,99.7753,1.316439,1.290252,87.0853,97.7238,0.00065451
22,697.4,1.040981,95.3419,99.809,1.290331,1.281598,87.5006,97.6755,0.00062434
23,697.4,1.02686,95.7661,99.8402,1.243039,1.2839,87.4053,97.5984,0.00059369
24,694.7,1.014562,96.1289,99.8618,1.217385,1.28266,87.5777,97.8106,0.00056267
25,695.7,1.004978,96.4329,99.833,1.180881,1.26734,87.9159,97.8009,0.0005314
26,696.1,0.990095,96.9375,99.9015,1.136261,1.26258,88.1468,97.8106,0.0005
27,727.9,0.980564,97.2234,99.9111,1.087421,1.259519,87.9828,97.6562,0.0004686
28,752.8,0.971044,97.5058,99.9303,1.048413,1.261494,88.0889,97.8492,0.00043733
29,697.2,0.9619,97.8398,99.9279,1.005697,1.259669,88.195,97.8588,0.00040631
30,695.5,0.953412,97.9575,99.9387,0.970096,1.250767,88.4554,97.7919,0.00037566
31,712.7,0.948737,98.0993,99.9327,0.95668,1.24916,88.6393,97.772,0.00034549
32,718.7,0.938991,98.4189,99.9567,0.902926,1.245388,88.5905,98.0324,0.00031594
33,722.5,0.932238,98.5787,99.9676,0.855944,1.24847,88.6483,97.8594,0.00028711
34,702.5,0.92693,98.6916,99.9519,0.835867,1.252774,89.0052,97.6852,0.00025912
35,695.7,0.921728,98.8238,99.9375,0.78404,1.244679,88.6779,97.8787,0.00023209
36,695.0,0.915546,98.9547,99.9784,0.74203,1.245273,88.8033,97.8492,0.00020611
37,695.8,0.912229,99.052,99.9736,0.743338,1.237802,88.755,97.9263,0.00018129
38,695.7,0.90584,99.2275,99.982,0.676917,1.238216,88.9576,97.8787,0.00015773
39,696.1,0.904791,99.2082,99.9676,0.674791,1.222393,89.2174,97.8684,0.00013552
40,711.6,0.900765,99.3152,99.988,0.632449,1.221604,89.4296,98.0228,0.00011474
41,719.0,0.8987,99.3452,99.9868,0.621912,1.222102,89.391,97.8883,9.549e-05
42,695.2,0.895643,99.3849,99.97,0.592532,1.227762,89.2373,97.9751,7.784e-05
43,696.9,0.893965,99.4353,99.988,0.575751,1.222686,89.42,97.898,6.185e-05
44,697.0,0.891273,99.517,99.964,0.55711,1.221714,89.3621,97.9655,4.759e-05
45,695.5,0.890255,99.5086,99.9892,0.553647,1.219229,89.3814,97.8401,3.511e-05
46,695.3,0.890574,99.4726,99.9483,0.554135,1.223141,89.4489,97.9649,2.447e-05
47,694.7,0.888328,99.5735,99.9892,0.523161,1.220907,89.2662,97.9848,1.571e-05
48,699.9,0.888415,99.5434,99.9892,0.529364,1.218552,89.5068,97.9462,8.86e-06
49,739.9,0.887403,99.5735,99.97,0.517061,1.217353,89.4392,97.9558,3.94e-06
50,695.8,0.887948,99.5446,99.9724,0.528664,1.223356,89.5164,97.8787,9.9e-07
