epoch,phase,time,train/loss,train/top1,train/top5,train/grad_norm,val/loss,metrics/accuracy_top1,metrics/accuracy_top5,lr/pg0
1,P1,828.9,1.881878,69.1969,89.7888,4.025089,1.409075,81.5394,96.9039,0.0004
2,P1,783.0,1.422367,81.7054,96.893,3.267146,1.320371,83.9699,97.5694,0.00039961
3,P1,775.0,1.295504,85.4972,98.175,2.940657,1.271538,85.7832,97.8299,0.00039842
4,P1,775.3,1.21484,87.9902,98.7709,2.728128,1.270462,85.697,97.936,0.00039646
5,P1,775.0,1.157878,89.9354,99.165,2.585726,1.25237,86.2365,97.9552,0.00039372
6,P1,778.0,1.117125,91.0924,99.3344,2.471217,1.240525,86.6705,97.9456,0.00039021
7,P1,775.9,1.086321,92.1124,99.4714,2.3966,1.25289,86.6995,97.9649,0.00038596
8,P1,775.0,1.060157,93.0087,99.5891,2.319683,1.230932,87.7508,98.2639,0.00038097
9,P1,776.1,1.039006,93.5806,99.6612,2.215656,1.227028,87.6833,98.1096,0.00037526
10,P1,778.7,1.021366,94.2546,99.6768,2.177757,1.253644,87.0853,98.0228,0.00036887
11,P2,1091.8,0.977466,95.7973,99.7597,14.345842,1.213383,88.561,98.2446,4e-05
12,P2,1090.7,0.944356,96.9435,99.8666,12.036011,1.210057,89.2458,98.235,3.994e-05
13,P2,1093.0,0.930763,97.3255,99.8654,11.515764,1.229925,88.793,98.2446,3.975e-05
14,P2,1092.5,0.922075,97.6043,99.857,10.849052,1.221665,89.2367,98.3218,3.945e-05
15,P2,1092.5,0.914658,97.8422,99.8859,10.632972,1.219947,89.1686,98.1192,3.902e-05
16,P2,1089.0,0.909374,98.0512,99.8726,10.216546,1.243629,88.9082,98.0324,3.848e-05
17,P2,1089.2,0.90177,98.2711,99.9099,9.7693,1.222912,89.4869,98.1674,3.782e-05
18,P2,1090.8,0.897074,98.4261,99.9051,9.310174,1.23713,89.3621,98.0035,3.705e-05
19,P2,1091.2,0.893772,98.4405,99.9243,9.311461,1.244162,89.3524,97.907,3.618e-05
20,P2,1089.0,0.888295,98.6231,99.9267,8.759377,1.236962,89.8245,98.1192,3.521e-05
21,P2,1089.9,0.885508,98.7433,99.9099,8.089875,1.22739,90.2006,98.0228,3.414e-05
22,P2,1090.0,0.88282,98.8118,99.9195,8.093325,1.242351,89.9306,97.8974,3.299e-05
23,P2,1091.4,0.879891,98.9043,99.9351,8.041489,1.244357,90.0367,97.8684,3.176e-05
24,P2,1090.4,0.877241,98.9643,99.9327,7.62726,1.258581,89.9113,97.8009,3.045e-05
25,P2,1090.7,0.874798,99.0737,99.9423,7.290831,1.24365,90.3164,98.0131,2.908e-05
26,P2,1089.3,0.870906,99.1386,99.9471,7.011029,1.244218,90.0077,97.6948,2.765e-05
27,P2,1091.2,0.870431,99.1614,99.9279,6.73504,1.257252,90.0849,97.8106,2.618e-05
28,P2,1088.6,0.868362,99.2094,99.9495,6.637775,1.24363,90.4225,97.8781,2.467e-05
29,P2,1089.3,0.865203,99.3356,99.9579,6.152516,1.247614,90.5575,97.7141,2.313e-05
30,P2,1089.2,0.862461,99.4125,99.9592,5.674492,1.252064,90.3935,97.6852,2.157e-05
31,P2,1089.0,0.862199,99.3921,99.9531,5.672978,1.265766,90.2205,97.7141,2e-05
32,P2,1089.3,0.860435,99.4485,99.9628,5.497267,1.259257,90.3453,97.772,1.843e-05
33,P2,1089.1,0.858959,99.5026,99.9579,4.840276,1.260988,90.2103,97.7816,1.687e-05
34,P2,1088.9,0.857271,99.547,99.9712,4.817538,1.257232,90.461,97.7816,1.533e-05
35,P2,1090.5,0.855061,99.6107,99.9724,4.333934,1.256357,90.6636,97.6659,1.382e-05
36,P2,1089.2,0.854178,99.6191,99.9664,3.979482,1.24512,90.6732,97.7431,1.235e-05
37,P2,1089.0,0.852722,99.6732,99.9808,3.664485,1.248687,90.8951,97.6659,1.092e-05
38,P2,1089.9,0.85228,99.6792,99.9784,3.622328,1.244969,90.8661,97.7334,9.55e-06
39,P2,1089.0,0.852889,99.6396,99.964,3.754928,1.247135,90.9819,97.8106,8.24e-06
40,P2,1090.8,0.851922,99.6828,99.9832,3.343889,1.243336,91.0687,97.6562,7.01e-06
41,P2,1089.6,0.851367,99.7273,99.9712,3.172914,1.24651,90.8275,97.6948,5.86e-06
42,P2,1090.5,0.849568,99.7309,99.976,3.042995,1.243477,90.9144,97.8009,4.79e-06
43,P2,1091.3,0.849026,99.7669,99.9844,2.950872,1.248035,90.8951,97.7045,3.82e-06
44,P2,1095.4,0.849366,99.7597,99.976,2.80241,1.240362,90.9722,97.7238,2.95e-06
45,P2,1093.7,0.849,99.7501,99.982,2.736655,1.244068,90.9144,97.7623,2.18e-06
46,P2,1089.3,0.848579,99.7693,99.9844,2.969569,1.243093,91.1265,97.772,1.52e-06
47,P2,1089.2,0.848059,99.7861,99.9832,2.652622,1.241479,90.9626,97.8106,9.8e-07
48,P2,1089.3,0.848588,99.7717,99.9784,2.740001,1.240566,91.0687,97.8202,5.5e-07
49,P2,1092.6,0.847828,99.7789,99.9712,2.517124,1.240682,91.059,97.8202,2.5e-07
50,P2,1089.2,0.848747,99.7693,99.9688,2.881181,1.24066,91.0687,97.8202,6e-08
