epoch,time,train/loss,train/top1,train/top5,train/grad_norm,val/loss,metrics/accuracy_top1,metrics/accuracy_top5,lr/backbone,lr/head
1,266.3,4.701888,16.6679,28.9084,141.023918,4.114662,26.8939,42.4684,1e-07,1e-06
2,265.1,2.266745,62.3498,81.876,116.525311,1.684997,77.5372,93.615,2.08e-06,2.08e-05
3,265.4,1.562371,80.3032,95.4909,93.097256,1.422109,84.6167,96.9335,4.06e-06,4.06e-05
4,265.1,1.386723,85.1283,97.513,77.644083,1.329459,87.028,97.8877,6.04e-06,6.04e-05
5,265.1,1.305247,87.3738,98.2603,67.341167,1.289313,87.5585,98.0324,8.02e-06,8.02e-05
6,264.6,1.255523,88.5417,98.6712,61.200975,1.265048,87.896,98.2832,1e-05,0.0001
7,265.1,1.189824,90.452,99.0989,53.481973,1.23044,88.9956,98.3314,9.99e-06,9.988e-05
8,265.5,1.136891,92.1412,99.4077,48.316112,1.229815,88.9088,98.2735,9.95e-06,9.951e-05
9,265.3,1.098183,93.2995,99.5795,45.251213,1.20958,89.3524,98.3893,9.89e-06,9.891e-05
10,265.7,1.065585,94.3135,99.7056,41.853057,1.196329,89.8733,98.3507,9.81e-06,9.806e-05
11,265.2,1.038031,95.1329,99.8078,39.350035,1.188004,89.8829,98.5532,9.7e-06,9.698e-05
12,265.2,1.015924,95.8033,99.8907,37.186463,1.177271,90.6159,98.505,9.57e-06,9.568e-05
13,265.4,0.996648,96.3391,99.9087,35.509072,1.180168,90.0951,98.37,9.41e-06,9.415e-05
14,265.2,0.980087,96.845,99.9291,33.982327,1.181735,90.1427,98.3507,9.24e-06,9.24e-05
15,265.1,0.966666,97.2054,99.9483,31.996551,1.170176,90.6443,98.4086,9.05e-06,9.045e-05
16,265.6,0.952178,97.5911,99.9507,30.451566,1.166523,90.7027,98.4375,8.83e-06,8.83e-05
17,265.0,0.941058,97.9671,99.9604,28.81689,1.167277,90.6835,98.2157,8.6e-06,8.597e-05
18,265.2,0.930363,98.2278,99.9628,27.636637,1.157927,91.1754,98.4086,8.35e-06,8.346e-05
19,265.2,0.921362,98.4201,99.964,26.321138,1.149186,91.3875,98.3121,8.08e-06,8.078e-05
20,265.1,0.913349,98.5991,99.9784,25.26157,1.1535,91.1561,98.4568,7.8e-06,7.796e-05
21,265.6,0.903966,98.7949,99.9844,23.157072,1.151102,91.3586,98.5147,7.5e-06,7.5e-05
22,265.2,0.895999,99.0424,99.9868,22.008568,1.149432,91.3779,98.505,7.19e-06,7.192e-05
23,265.4,0.889906,99.1506,99.9892,20.847355,1.152415,91.223,98.4664,6.87e-06,6.873e-05
24,265.2,0.88419,99.2959,99.9856,19.785011,1.152982,91.2809,98.3796,6.55e-06,6.545e-05
25,265.4,0.879741,99.344,99.982,18.823169,1.158143,91.3972,98.2446,6.21e-06,6.21e-05
26,265.1,0.873417,99.4918,99.9916,16.540667,1.141279,91.8023,98.4086,5.87e-06,5.868e-05
27,265.3,0.869419,99.5182,99.9916,16.196446,1.145395,91.7637,98.4375,5.52e-06,5.523e-05
28,265.2,0.865189,99.6143,99.9892,14.832283,1.140288,92.2749,98.3989,5.17e-06,5.174e-05
29,265.0,0.860727,99.69,99.9928,13.281148,1.145467,91.8505,98.3603,4.83e-06,4.826e-05
30,265.8,0.857715,99.7285,99.9952,12.726212,1.139418,92.0723,98.235,4.48e-06,4.477e-05
31,264.9,0.855449,99.7417,99.9964,11.823322,1.134528,92.1109,98.3796,4.13e-06,4.132e-05
32,265.1,0.851814,99.8174,99.9964,9.965142,1.135425,92.2556,98.3218,3.79e-06,3.79e-05
33,265.3,0.850314,99.827,99.9928,9.096711,1.13894,92.2652,98.2157,3.45e-06,3.455e-05
34,265.4,0.847262,99.869,99.9952,7.981391,1.140444,92.2652,98.341,3.13e-06,3.127e-05
35,265.4,0.846313,99.8883,99.994,7.411015,1.137041,92.3135,98.3507,2.81e-06,2.808e-05
36,265.3,0.844664,99.8943,99.9976,7.084562,1.133634,92.4967,98.3507,2.5e-06,2.5e-05
37,265.5,0.843368,99.9027,99.9952,6.293491,1.136423,92.5353,98.235,2.2e-06,2.204e-05
38,265.3,0.842269,99.9267,99.9964,5.6472,1.130124,92.6607,98.4086,1.92e-06,1.922e-05
39,265.2,0.84159,99.9231,99.9976,5.213071,1.13351,92.8439,98.4375,1.65e-06,1.654e-05
40,265.5,0.840296,99.9387,99.9976,4.55154,1.133695,92.5546,98.341,1.4e-06,1.403e-05
41,265.2,0.839718,99.9531,99.9964,4.065417,1.135326,92.5353,98.3603,1.17e-06,1.17e-05
42,265.0,0.839163,99.9604,99.9964,3.586522,1.12972,92.7571,98.37,9.5e-07,9.55e-06
43,264.7,0.838798,99.9616,100.0,3.612068,1.130689,92.7186,98.3603,7.6e-07,7.6e-06
44,265.3,0.838906,99.9543,99.9964,3.629621,1.128681,92.6896,98.4471,5.9e-07,5.85e-06
45,265.9,0.838142,99.9604,99.9976,2.837024,1.130655,92.7957,98.3796,4.3e-07,4.32e-06
46,265.8,0.838201,99.9543,99.994,3.006084,1.129859,92.815,98.4279,3e-07,3.02e-06
47,265.7,0.838042,99.9616,99.9976,2.662769,1.128116,92.7861,98.4279,1.9e-07,1.94e-06
48,265.9,0.837846,99.9628,99.9964,2.686976,1.128654,92.7957,98.3893,1.1e-07,1.09e-06
49,265.8,0.83813,99.9555,99.9952,3.183379,1.128646,92.8439,98.4086,5e-08,4.9e-07
