epoch,time,train/total_loss,train/genus_loss,train/species_loss,train/genus_top1,train/species_top1,train/grad_norm,val/total_loss,val/genus_loss,val/species_loss,val/genus_top1,metrics/species_top1,lr/pg0
1,717.8,3.466706,3.054665,3.643295,44.9527,40.2453,4.674138,3.129761,2.773466,3.282459,55.1528,51.5178,0.001
2,644.7,3.29361,2.926974,3.450739,51.1979,47.6656,4.462394,3.266858,2.76815,3.48059,55.74,49.4906,0.00099901
3,656.7,3.277683,2.922369,3.42996,52.6757,50.0805,4.387258,3.490519,3.288653,3.577033,48.6459,49.561,0.00099606
4,647.0,3.277562,2.925258,3.428549,53.6657,51.1618,4.35797,3.441691,2.952737,3.651243,56.0811,52.0073,0.00099114
5,617.9,3.258373,2.911505,3.407031,54.5992,52.4354,4.313303,3.476025,3.001731,3.679295,56.7425,52.9906,0.00098429
6,680.0,3.254121,2.903094,3.404561,55.0786,53.2379,4.284045,3.434989,2.957415,3.639663,55.9148,51.7782,0.00097553
7,631.4,3.242902,2.898609,3.390457,55.7478,53.7882,4.269497,3.433609,2.9231,3.652399,56.4543,50.88,0.00096489
8,610.7,3.222219,2.885625,3.366474,56.1455,54.5451,4.231255,3.607753,3.109755,3.821181,56.3657,51.9772,0.00095241
9,612.0,3.189851,2.851094,3.335033,56.7762,55.1194,4.211818,3.408164,2.888628,3.630823,57.8052,53.7747,0.00093815
10,613.4,3.164444,2.84757,3.300247,56.8375,55.5327,4.174607,3.418618,2.965074,3.612993,57.88,53.858,0.00092216
11,613.4,3.151318,2.824681,3.291305,57.5007,56.2067,4.156558,3.481778,2.924741,3.720508,58.6624,54.1956,0.00090451
12,642.3,3.108513,2.797059,3.241994,57.8311,56.5696,4.12912,3.370232,2.884798,3.578276,58.1849,53.4661,0.00088526
13,660.5,3.072479,2.766648,3.203549,58.087,57.037,4.101142,3.323891,2.918247,3.497738,56.7334,54.5832,0.00086448
14,667.8,3.032999,2.732792,3.161659,58.2444,57.4455,4.072565,3.414713,2.904538,3.633359,58.2772,53.5795,0.00084227
15,766.7,2.995165,2.697475,3.122747,58.9689,58.0486,4.040535,3.38484,2.964217,3.565107,57.6593,54.6109,0.00081871
16,787.1,2.945254,2.663884,3.065841,59.1888,58.4943,4.002678,3.348047,2.927959,3.528085,58.912,56.1053,0.00079389
17,711.2,2.899603,2.630697,3.014848,59.5492,59.0939,3.975788,3.438395,2.971775,3.638375,56.7515,53.4144,0.00076791
18,688.1,2.854251,2.597687,2.964208,59.9121,59.8003,3.93452,3.291089,2.91116,3.453915,57.8034,54.9769,0.00074088
19,656.0,2.806707,2.55248,2.915661,60.5945,60.228,3.897663,3.193473,2.744343,3.385957,58.9699,55.816,0.00071289
20,654.0,2.754153,2.513888,2.857124,61.1039,60.9669,3.861402,3.148497,2.752238,3.318322,60.0513,57.2054,0.00068406
21,652.4,2.695572,2.466152,2.793895,61.6518,61.4944,3.81718,3.13604,2.763036,3.295899,58.8451,56.0475,0.00065451
22,661.7,2.6519,2.422571,2.750184,61.981,61.665,3.800454,3.082643,2.682566,3.254105,59.173,55.6339,0.00062434
23,671.4,2.609135,2.391327,2.702481,62.1924,62.2693,3.761921,3.032844,2.61116,3.213566,60.5143,55.9232,0.00059369
24,657.1,2.538956,2.336673,2.625649,62.953,62.9794,3.700101,2.977011,2.604296,3.136746,58.9416,55.7292,0.00056267
25,647.6,2.487553,2.287583,2.573254,63.8168,63.8096,3.655331,2.887941,2.487174,3.059698,61.6337,57.8148,0.0005314
26,637.3,2.43939,2.250815,2.520208,64.0198,64.289,3.618905,2.930806,2.568405,3.086121,59.762,56.0384,0.0005
27,640.6,2.382309,2.212506,2.455081,64.6506,65.2694,3.566279,2.815466,2.479558,2.959426,60.9591,57.0915,0.0004686
28,649.0,2.328665,2.161896,2.400137,65.2718,65.929,3.523531,2.777989,2.420588,2.93116,61.6331,57.1482,0.00043733
29,634.2,2.281755,2.126073,2.348476,65.7944,66.418,3.482133,2.759002,2.411073,2.908114,61.8839,58.692,0.00040631
30,630.0,2.239356,2.089178,2.303718,66.4168,67.1448,3.436719,2.680354,2.347553,2.822983,62.3752,59.5583,0.00037566
31,660.6,2.185023,2.046455,2.24441,67.2794,68.2418,3.376299,2.666922,2.340274,2.806914,62.298,58.5075,0.00034549
32,655.0,2.142892,2.015693,2.197406,67.8922,68.8281,3.338461,2.643936,2.321932,2.781938,62.6067,59.5396,0.00031594
33,656.7,2.108497,1.984045,2.161834,68.2742,69.4012,3.29822,2.583893,2.25892,2.723167,63.6966,59.7126,0.00028711
34,656.7,2.056814,1.945137,2.104676,69.209,70.5846,3.236608,2.524162,2.229744,2.650341,64.0444,60.7168,0.00025912
35,653.0,2.029241,1.921387,2.075464,69.6811,70.9487,3.204363,2.492103,2.204975,2.615157,63.7731,60.2623,0.00023209
36,703.1,1.990844,1.890404,2.033889,70.5594,71.7404,3.156744,2.478436,2.202212,2.596818,63.7544,60.706,0.00020611
37,757.8,1.963829,1.865738,2.005869,70.8622,72.2979,3.131962,2.451249,2.171931,2.570958,64.8727,61.0918,0.00018129
38,778.2,1.933174,1.841495,1.972465,71.4725,72.9695,3.08959,2.444817,2.165168,2.564666,65.086,61.5644,0.00015773
39,808.3,1.900195,1.814943,1.936731,72.0829,73.9175,3.038498,2.40493,2.146262,2.515788,64.1902,61.0947,0.00013552
40,799.4,1.880883,1.799448,1.915784,72.6487,74.2551,3.014,2.389151,2.108119,2.509593,65.6063,61.4884,0.00011474
41,860.6,1.860001,1.781126,1.893805,73.026,74.6203,2.987763,2.3652,2.10121,2.478339,65.6925,62.0382,9.549e-05
42,844.1,1.836652,1.764798,1.867446,73.5715,75.4854,2.944858,2.342751,2.085958,2.452805,66.2242,62.55,7.784e-05
43,838.7,1.819683,1.745886,1.85131,74.0316,75.8843,2.923408,2.324414,2.069927,2.43348,66.1754,62.2589,6.185e-05
44,795.2,1.808586,1.738903,1.83845,74.1398,76.0897,2.910854,2.306474,2.054446,2.414485,66.5123,62.799,4.759e-05
45,775.1,1.791522,1.725266,1.819917,74.6696,76.6856,2.88043,2.317802,2.068284,2.424738,65.76,62.3457,3.511e-05
46,881.6,1.779759,1.713973,1.807952,74.9507,77.0052,2.85911,2.299905,2.048663,2.407581,66.657,62.8575,2.447e-05
47,874.7,1.774663,1.709137,1.802746,75.1081,77.2023,2.847446,2.273654,2.028174,2.378859,67.1109,63.696,1.571e-05
48,884.5,1.770921,1.704069,1.799572,75.203,77.2311,2.845813,2.284926,2.038004,2.390749,66.7728,63.3005,8.86e-06
49,883.3,1.762265,1.699409,1.789203,75.4734,77.6925,2.825202,2.268415,2.024114,2.373115,67.3032,63.696,3.94e-06
50,885.2,1.76596,1.700159,1.79416,75.2247,77.4257,2.833739,2.296908,2.051622,2.40203,66.2809,62.6061,9.9e-07
