epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,507.765,2.39017,0.69101,0.90578,1.13902,0.00999808,0.00333269,0.00999808,0.00333269,0.00999808,0.00333269,0.00999808,0.00333269
2,871.865,1.5695,0.71994,0.91932,1.02781,0.0199785,0.00665951,0.0199785,0.00665951,0.0199785,0.00665951,0.0199785,0.00665951
3,1182.12,1.82142,0.68676,0.90732,1.14443,0.029881,0.00996033,0.029881,0.00996033,0.029881,0.00996033,0.029881,0.00996033
4,1476.53,1.89364,0.72197,0.92232,0.99317,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,1767.86,1.6462,0.75534,0.9377,0.85733,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,2059.41,1.48151,0.77914,0.94873,0.76636,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,2351.84,1.36416,0.79327,0.95415,0.7159,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,2645.85,1.28611,0.80313,0.95676,0.67898,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,2938.35,1.2153,0.81039,0.96101,0.64986,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,3229.38,1.17227,0.81378,0.96237,0.62939,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
11,3522.34,1.13853,0.82084,0.96285,0.62363,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
12,3812.93,1.1023,0.82287,0.9644,0.60523,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
