epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,179.723,2.74621,0.67882,0.89775,1.17249,0.00999808,0.00333269,0.00999808,0.00333269,0.00999808,0.00333269,0.00999808,0.00333269
2,314.39,1.47713,0.7447,0.93518,0.90567,0.0199785,0.00665951,0.0199785,0.00665951,0.0199785,0.00665951,0.0199785,0.00665951
3,430.959,1.49872,0.74393,0.9348,0.91821,0.029881,0.00996033,0.029881,0.00996033,0.029881,0.00996033,0.029881,0.00996033
4,542.166,1.59222,0.7625,0.94205,0.83488,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,652.561,1.44928,0.78543,0.94844,0.75291,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,763.462,1.34989,0.79849,0.95521,0.6999,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,880.214,1.27378,0.80923,0.95995,0.65841,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,992.122,1.21937,0.81271,0.96285,0.63954,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,1102.38,1.17551,0.82345,0.96498,0.6148,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,1212.46,1.14127,0.82596,0.96624,0.60096,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
11,1322.46,1.11303,0.83129,0.96759,0.5894,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
12,1433.13,1.08195,0.8308,0.96837,0.58161,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
13,1551.54,1.06334,0.8337,0.96779,0.57612,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
14,1726.48,1.03669,0.83516,0.96808,0.57042,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
15,1924.94,1.02313,0.83603,0.96885,0.56518,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
16,2102.49,0.99534,0.83632,0.96933,0.56119,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
17,2215.47,0.97588,0.83815,0.96982,0.55654,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
18,2328.6,0.96006,0.84057,0.96991,0.55398,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
19,2444.18,0.92921,0.84077,0.97001,0.54909,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
20,2555.21,0.91208,0.8426,0.97127,0.54544,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
21,2688.44,0.88314,0.84241,0.97175,0.54102,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
22,2803.65,0.86754,0.84377,0.97214,0.54509,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
23,2914.08,0.84691,0.84338,0.97224,0.53495,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
24,3024.64,0.81977,0.84512,0.97291,0.52884,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
25,3134.61,0.79495,0.84667,0.97262,0.52463,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
26,3245.05,0.76522,0.84676,0.97311,0.53558,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,3354.75,0.74803,0.84899,0.9733,0.51694,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
28,3469.35,0.71868,0.85044,0.9732,0.51243,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
29,3580.92,0.69734,0.85199,0.97369,0.50874,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
30,3697.85,0.66639,0.85247,0.97475,0.50493,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
31,3815.27,0.63736,0.85267,0.97456,0.50081,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
32,3926.28,0.6207,0.85441,0.97485,0.49696,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
33,4036.77,0.59065,0.85586,0.97591,0.4942,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
34,4147.56,0.56073,0.85692,0.9763,0.48989,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
35,4258.36,0.53383,0.85837,0.97717,0.48837,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
36,4368.83,0.51111,0.85915,0.97756,0.48223,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
37,4479.32,0.48399,0.85982,0.97746,0.4786,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
38,4590.15,0.46122,0.86098,0.97785,0.49253,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
39,4700.62,0.43895,0.86215,0.97775,0.49388,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
40,4811.37,0.41681,0.86273,0.97746,0.47212,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
41,4950.74,0.39724,0.86302,0.97765,0.46879,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
42,5063.14,0.38129,0.86389,0.97775,0.46665,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
43,5174.65,0.36324,0.86456,0.97785,0.465,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
44,5285.3,0.3509,0.86524,0.97814,0.46339,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
45,5395.77,0.33854,0.8665,0.97862,0.46243,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
46,5505.86,0.32938,0.86669,0.97823,0.46056,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
47,5615.96,0.31956,0.86669,0.97872,0.46118,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
48,5728.15,0.31262,0.86785,0.97891,0.45852,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
49,5840.65,0.30645,0.86785,0.97939,0.45778,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
50,5950.54,0.30605,0.86834,0.97949,0.45718,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
